date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:36:31	1904/1904	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2263e2c129-126e%22	https://leafletjs.com/robots.txt		(from )
07:36:32	14873/14873	---M-Z	200	added ('OK')	text/html	etag:W/%2263e2c129-3a19%22	https://leafletjs.com/	C:/Mis%20lugares%20Web/Leaflet/leafletjs.com/index.html	(from )
07:36:32	35924/35924	---M--	200	added ('OK')	image/png	etag:%2263e2c124-8c54%22	https://leafletjs.com/docs/images/logo.png	C:/Mis%20lugares%20Web/Leaflet/leafletjs.com/docs/images/logo.png	(from https://leafletjs.com/)
07:36:32	32988/32988	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%2263e2c124-80dc%22	https://leafletjs.com/docs/images/favicon.ico	C:/Mis%20lugares%20Web/Leaflet/leafletjs.com/docs/images/favicon.ico	(from https://leafletjs.com/)
07:36:32	148598/148598	---M-Z	200	added ('OK')	application/xml	etag:W/%2263e2c129-24476%22	https://leafletjs.com/atom.xml	C:/Mis%20lugares%20Web/Leaflet/leafletjs.com/atom.xml	(from https://leafletjs.com/)
07:36:32	7808/7808	---M-Z	200	added ('OK')	text/css	etag:W/%2263e2c124-1e80%22	https://leafletjs.com/docs/css/normalize.css	C:/Mis%20lugares%20Web/Leaflet/leafletjs.com/docs/css/normalize.css	(from https://leafletjs.com/)
07:36:33	17271/17271	---M-Z	200	added ('OK')	text/css	etag:W/%2263e2c124-4377%22	https://leafletjs.com/docs/css/main.css	C:/Mis%20lugares%20Web/Leaflet/leafletjs.com/docs/css/main.css	(from https://leafletjs.com/)
07:36:33	12251/12251	---M-Z	200	added ('OK')	application/javascript	etag:W/%2263e2c124-2fdb%22	https://leafletjs.com/docs/highlight/highlight.pack.js	C:/Mis%20lugares%20Web/Leaflet/leafletjs.com/docs/highlight/highlight.pack.js	(from https://leafletjs.com/)
07:36:33	4132/4132	---M-Z	200	added ('OK')	text/css	etag:W/%2263e2c124-1024%22	https://leafletjs.com/docs/highlight/styles/github-gist.css	C:/Mis%20lugares%20Web/Leaflet/leafletjs.com/docs/highlight/styles/github-gist.css	(from https://leafletjs.com/)
07:36:33	14657/14657	---MCZ	200	added ('OK')	text/css	etag:%223941-nH6hseWiT5qreiB7VLc2uJIwWMc%22	https://unpkg.com/leaflet@1.9.3/dist/leaflet.css	C:/Mis%20lugares%20Web/Leaflet/unpkg.com/leaflet@1.9.3/dist/leaflet.css	(from https://leafletjs.com/)
07:36:34	146715/146715	---MCZ	200	added ('OK')	application/javascript	etag:%2223d1b-b5KilPPthkUwl3+BD9WP5dJHwUA%22	https://unpkg.com/leaflet@1.9.3/dist/leaflet.js	C:/Mis%20lugares%20Web/Leaflet/unpkg.com/leaflet@1.9.3/dist/leaflet.js	(from https://leafletjs.com/)
07:36:34	30/30	---M--	400	error ('Bad%20Request')	text/html	date:Wed,%2008%20Feb%202023%2006:36:35%20GMT	https://tile.openstreetmap.org/{z}/{x}/{y}.png	C:/Mis%20lugares%20Web/Leaflet/tile.openstreetmap.org/{z}/{x}/{y}.9.delayed	(from https://leafletjs.com/)
07:36:34	9699/9699	---M-Z	200	added ('OK')	text/html	etag:W/%2263e2c129-25e3%22	https://leafletjs.com/examples.html	C:/Mis%20lugares%20Web/Leaflet/leafletjs.com/examples.html	(from https://leafletjs.com/)
07:36:35	867157/867157	---M-Z	200	added ('OK')	text/html	etag:W/%2263e2c129-d3b55%22	https://leafletjs.com/reference.html	C:/Mis%20lugares%20Web/Leaflet/leafletjs.com/reference.html	(from https://leafletjs.com/)
07:36:35	9349/9349	---M-Z	200	added ('OK')	text/html	etag:W/%2263e2c129-2485%22	https://leafletjs.com/download.html	C:/Mis%20lugares%20Web/Leaflet/leafletjs.com/download.html	(from https://leafletjs.com/)
07:36:35	257412/257412	---M-Z	200	added ('OK')	text/html	etag:W/%2263e2c129-3ed84%22	https://leafletjs.com/plugins.html	C:/Mis%20lugares%20Web/Leaflet/leafletjs.com/plugins.html	(from https://leafletjs.com/)
07:36:35	16280/16280	---M-Z	200	added ('OK')	text/html	etag:W/%2263e2c129-3f98%22	https://leafletjs.com/blog.html	C:/Mis%20lugares%20Web/Leaflet/leafletjs.com/blog.html	(from https://leafletjs.com/)
07:36:35	8011/8011	---M-Z	200	added ('OK')	text/html	etag:W/%2263e2c129-1f4b%22	https://leafletjs.com/2022/09/21/leaflet-1.9.0.html	C:/Mis%20lugares%20Web/Leaflet/leafletjs.com/2022/09/21/leaflet-1.9.0.html	(from https://leafletjs.com/)
07:36:36	93239/93239	---M-Z	200	added ('OK')	application/javascript	etag:%229e99725b7a4cd730a934afba2a438bb5+gzip%22	https://platform.twitter.com/widgets.js	C:/Mis%20lugares%20Web/Leaflet/platform.twitter.com/widgets.js	(from https://leafletjs.com/)
07:36:36	21327/21327	---M-Z	200	added ('OK')	text/html	etag:W/%2263e2c129-534f%22	https://leafletjs.com/examples/quick-start/	C:/Mis%20lugares%20Web/Leaflet/leafletjs.com/examples/quick-start/index.html	(from https://leafletjs.com/)
07:36:36	1224/1224	---M--	200	added ('OK')	image/png	etag:%2263e2c124-4c8%22	https://leafletjs.com/docs/images/twitter-round.png	C:/Mis%20lugares%20Web/Leaflet/leafletjs.com/docs/images/twitter-round.png	(from https://leafletjs.com/)
07:36:36	1097/1097	---M--	200	added ('OK')	image/png	etag:%2263e2c124-449%22	https://leafletjs.com/docs/images/github-round.png	C:/Mis%20lugares%20Web/Leaflet/leafletjs.com/docs/images/github-round.png	(from https://leafletjs.com/)
07:36:36	843/843	---M--	200	added ('OK')	image/png	etag:%2263e2c124-34b%22	https://leafletjs.com/docs/images/forum-round.png	C:/Mis%20lugares%20Web/Leaflet/leafletjs.com/docs/images/forum-round.png	(from https://leafletjs.com/)
07:36:37	1415/1415	---M-Z	200	added ('OK')	application/javascript	etag:W/%2263e2c124-587%22	https://leafletjs.com/dialog/dialog.js	C:/Mis%20lugares%20Web/Leaflet/leafletjs.com/dialog/dialog.js	(from https://leafletjs.com/)
07:36:37	2894/2894	---M-Z	200	added ('OK')	application/javascript	etag:W/%2263e2c124-b4e%22	https://leafletjs.com/docs/js/docs.js	C:/Mis%20lugares%20Web/Leaflet/leafletjs.com/docs/js/docs.js	(from https://leafletjs.com/)
07:36:37	165107/165107	---M--	200	added ('OK')	image/png	etag:%2263e2c124-284f3%22	https://leafletjs.com/docs/images/logos.png	C:/Mis%20lugares%20Web/Leaflet/leafletjs.com/docs/images/logos.png	(from https://leafletjs.com/docs/css/main.css)
07:36:37	981/981	---M--	200	added ('OK')	image/png	etag:%2263e2c124-3d5%22	https://leafletjs.com/docs/images/sprite.png	C:/Mis%20lugares%20Web/Leaflet/leafletjs.com/docs/images/sprite.png	(from https://leafletjs.com/docs/css/main.css)
